loc,function_count,avg_function_length,max_function_length,cyclomatic_complexity,max_nesting_depth,total_issue_count,security_issue_count,duplication_ratio,dependency_risk_score,has_tests,structural_risk,security_risk,maintainability_risk,test_risk,overall_risk
200,26,0.0,0,5,0,2,0,0.31362178585494854,0.03,1,0.23,0.009,0.2882,0.0,0.1408
145,19,0.0,0,6,0,1,0,0.31362178585494854,0.03,1,0.22,0.009,0.3082,0.0,0.1413
117,15,0.0,0,1,0,1,0,0.31362178585494854,0.03,1,0.07,0.009,0.2082,0.0,0.0688
146,19,0.0,0,4,0,1,0,0.31362178585494854,0.03,1,0.16,0.009,0.2682,0.0,0.1123
71,2,0.0,0,1,0,0,0,0.31362178585494854,0.03,1,0.03,0.009,0.2082,0.0,0.0548
396,22,0.0,0,2,0,2,0,0.31362178585494854,0.03,1,0.14,0.009,0.2282,0.0,0.0973
196,10,0.0,0,3,0,0,0,0.31362178585494854,0.03,1,0.09,0.009,0.2482,0.0,0.0838
302,27,0.0,0,4,0,2,0,0.31362178585494854,0.03,1,0.2,0.009,0.2682,0.0,0.1263
489,24,0.0,0,6,0,1,0,0.31362178585494854,0.03,1,0.22,0.009,0.3082,0.0,0.1413
250,20,0.0,0,6,0,1,0,0.31362178585494854,0.03,1,0.22,0.009,0.3082,0.0,0.1413
168,12,0.0,0,1,0,1,0,0.31362178585494854,0.03,1,0.07,0.009,0.2082,0.0,0.0688
173,22,0.0,0,5,0,1,0,0.31362178585494854,0.03,1,0.19,0.009,0.2882,0.0,0.1268
128,8,0.0,0,1,0,2,0,0.31362178585494854,0.03,1,0.11,0.009,0.2082,0.0,0.0828
108,8,0.0,0,1,0,0,0,0.31362178585494854,0.03,1,0.03,0.009,0.2082,0.0,0.0548
20,2,0.0,0,1,0,0,0,0.31362178585494854,0.03,1,0.03,0.009,0.2082,0.0,0.0548
15,1,0.0,0,1,0,0,0,0.31362178585494854,0.03,1,0.03,0.009,0.2082,0.0,0.0548
14,1,0.0,0,1,0,0,0,0.31362178585494854,0.03,1,0.03,0.009,0.2082,0.0,0.0548
39,1,0.0,0,1,0,0,0,0.31362178585494854,0.03,1,0.03,0.009,0.2082,0.0,0.0548
23,1,0.0,0,1,0,0,0,0.31362178585494854,0.03,1,0.03,0.009,0.2082,0.0,0.0548
48,1,0.0,0,1,0,0,0,0.31362178585494854,0.03,1,0.03,0.009,0.2082,0.0,0.0548
37,1,0.0,0,1,0,0,0,0.31362178585494854,0.03,1,0.03,0.009,0.2082,0.0,0.0548
244,10,0.0,0,2,0,0,0,0.31362178585494854,0.03,1,0.06,0.009,0.2282,0.0,0.0693
289,27,0.0,0,3,0,1,0,0.31362178585494854,0.03,1,0.13,0.009,0.2482,0.0,0.0978
76,10,0.0,0,1,0,0,0,0.31362178585494854,0.03,1,0.03,0.009,0.2082,0.0,0.0548
193,10,0.0,0,9,0,0,0,0.31362178585494854,0.03,1,0.27,0.009,0.3682,0.0,0.1708
